Customer_ID,Age,Gender,Annual_Income,Spending_Score,Region,Loyalty_Tier,Purchase_Frequency
CUST1000,39,Female,58529.0,40.0,South,Gold,12.0
CUST1001,33,Male,55743.0,44.0,North,Gold,13.0
CUST1002,41,Male,74396.0,71.0,East,Gold,17.0
CUST1003,50,Female,53540.0,33.0,South,Gold,14.0
CUST1004,32,Male,44209.0,39.0,South,Gold,15.0
CUST1005,32,Male,36263.0,38.0,East,Silver,14.0
CUST1006,50,Male,53744.0,74.0,South,Gold,25.0
CUST1007,42,Female,13389.0,79.0,West,Silver,17.0
CUST1008,30,Male,47235.0,61.0,South,Silver,13.0
CUST1009,40,Female,46912.0,61.0,East,Platinum,13.0
CUST1010,30,Female,29532.0,41.0,North,Platinum,17.0
CUST1011,30,Female,36076.0,79.0,North,Platinum,10.0
CUST1012,37,Male,62144.0,54.0,West,Gold,16.0
CUST1013,15,Female,53460.0,62.0,South,Silver,15.0
CUST1014,17,Female,51526.0,48.0,South,Gold,10.0
CUST1015,29,Male,54595.0,45.0,East,Platinum,3.0
CUST1016,24,Female,51389.0,74.0,East,Platinum,6.0
CUST1017,38,Female,68642.0,58.0,West,Silver,13.0
CUST1018,25,Male,51851.0,71.0,West,Silver,19.0
CUST1019,20,Male,28126.0,53.0,South,Platinum,12.0
CUST1020,49,Female,74451.0,37.0,South,Gold,19.0
CUST1021,32,Male,55555.0,41.0,West,Gold,13.0
CUST1022,35,Male,41161.0,51.0,North,Silver,9.0
CUST1023,20,Male,,,North,Platinum,
CUST1024,29,Female,55938.0,33.0,North,Gold,10.0
CUST1025,36,Female,48242.0,68.0,North,Silver,15.0
CUST1026,23,Male,73612.0,41.0,West,Silver,14.0
CUST1027,38,Female,44811.0,52.0,East,Silver,13.0
CUST1028,28,Male,37439.0,54.0,North,Gold,13.0
CUST1029,32,Male,63436.0,41.0,West,Silver,20.0
CUST1030,28,Male,63879.0,71.0,North,Gold,24.0
CUST1031,53,Male,,,South,Silver,
CUST1032,34,Male,60145.0,53.0,North,Gold,14.0
CUST1033,24,Female,49434.0,53.0,West,Platinum,8.0
CUST1034,43,Female,53507.0,49.0,South,Gold,14.0
CUST1035,22,Female,67474.0,30.0,South,Platinum,13.0
CUST1036,37,Female,59379.0,63.0,North,Silver,16.0
CUST1037,15,Male,,,North,Gold,
CUST1038,21,Male,70285.0,39.0,South,Silver,8.0
CUST1039,36,Female,14527.0,60.0,East,Platinum,13.0
CUST1040,42,Female,80781.0,55.0,West,Silver,13.0
CUST1041,36,Male,24410.0,30.0,West,Silver,15.0
CUST1042,33,Male,40593.0,37.0,West,Silver,22.0
CUST1043,31,Male,49386.0,67.0,West,Platinum,11.0
CUST1044,20,Female,47802.0,54.0,West,Platinum,18.0
CUST1045,27,Male,65096.0,41.0,South,Gold,23.0
CUST1046,30,Male,34132.0,37.0,West,Gold,10.0
CUST1047,45,Female,53911.0,42.0,East,Gold,15.0
CUST1048,38,Female,41326.0,43.0,East,Gold,15.0
CUST1049,17,Female,54427.0,37.0,North,Silver,8.0
CUST1050,38,Male,,,North,Platinum,
CUST1051,31,Male,51394.0,67.0,North,Platinum,20.0
CUST1052,28,Female,41751.0,64.0,North,Silver,11.0
CUST1053,41,Male,42349.0,30.0,South,Gold,13.0
CUST1054,45,Male,54309.0,52.0,East,Platinum,6.0
CUST1055,44,Male,64155.0,36.0,South,Silver,20.0
CUST1056,26,Female,41025.0,46.0,East,Silver,19.0
CUST1057,31,Female,36968.0,44.0,South,Gold,10.0
CUST1058,38,Male,59201.0,43.0,East,Gold,10.0
CUST1059,44,Male,49512.0,80.0,North,Platinum,13.0
CUST1060,30,Male,62457.0,43.0,East,Platinum,21.0
CUST1061,33,Male,36413.0,37.0,North,Gold,14.0
CUST1062,23,Female,23308.0,38.0,East,Platinum,15.0
CUST1063,23,Female,42004.0,65.0,South,Gold,15.0
CUST1064,43,Male,38504.0,25.0,West,Silver,21.0
CUST1065,48,Male,48818.0,38.0,East,Silver,13.0
CUST1066,34,Female,40447.0,71.0,South,Silver,14.0
CUST1067,45,Male,61115.0,53.0,West,Platinum,20.0
CUST1068,38,Female,45677.0,52.0,South,Gold,20.0
CUST1069,28,Male,52257.0,81.0,West,Silver,9.0
CUST1070,38,Female,52364.0,53.0,North,Silver,5.0
CUST1071,50,Male,52924.0,39.0,East,Platinum,14.0
CUST1072,34,Male,49638.0,45.0,South,Platinum,18.0
CUST1073,50,Female,57659.0,32.0,East,Silver,16.0
CUST1074,8,Female,38065.0,68.0,North,Platinum,11.0
CUST1075,43,Male,70991.0,58.0,North,Platinum,24.0
CUST1076,35,Male,46451.0,66.0,East,Platinum,9.0
CUST1077,32,Female,30326.0,68.0,South,Platinum,8.0
CUST1078,35,Female,52821.0,43.0,South,Gold,20.0
CUST1079,10,Male,500000.0,-10.0,South,Platinum,
CUST1080,32,Male,,,East,Platinum,
CUST1081,38,Female,83144.0,36.0,South,Gold,13.0
CUST1082,49,Female,38201.0,52.0,South,Platinum,13.0
CUST1083,29,Female,54985.0,66.0,West,Platinum,17.0
CUST1084,10,Female,-1000.0,-10.0,South,Silver,
CUST1085,29,Female,56808.0,52.0,North,Silver,25.0
CUST1086,44,Male,36714.0,48.0,South,Silver,19.0
CUST1087,38,Male,40627.0,62.0,East,Gold,20.0
CUST1088,29,Female,33480.0,39.0,East,Platinum,12.0
CUST1089,40,Male,60982.0,17.0,South,Gold,19.0
CUST1090,35,Male,65109.0,57.0,East,Gold,18.0
CUST1091,44,Female,50350.0,64.0,East,Platinum,12.0
CUST1092,27,Male,37033.0,56.0,South,Platinum,8.0
CUST1093,31,Male,,,West,Silver,
CUST1094,31,Male,38743.0,32.0,West,Platinum,12.0
CUST1095,20,Female,17569.0,57.0,West,Gold,14.0
CUST1096,37,Female,56875.0,52.0,West,Silver,18.0
CUST1097,37,Male,33428.0,48.0,North,Gold,19.0
CUST1098,35,Male,64829.0,77.0,South,Platinum,23.0
CUST1099,32,Male,44282.0,35.0,East,Silver,17.0
CUST1100,20,Male,59055.0,76.0,East,Platinum,7.0
CUST1101,30,Male,,,South,Silver,
CUST1102,31,Male,31867.0,22.0,East,Silver,13.0
CUST1103,26,Female,41510.0,47.0,North,Silver,20.0
CUST1104,33,Male,48864.0,64.0,West,Platinum,18.0
CUST1105,39,Male,73063.0,44.0,South,Silver,11.0
CUST1106,53,Female,40124.0,27.0,East,Silver,9.0
CUST1107,36,Male,41082.0,47.0,North,Platinum,11.0
CUST1108,37,Male,57172.0,37.0,East,Gold,8.0
CUST1109,34,Male,41341.0,57.0,North,Platinum,14.0
CUST1110,15,Male,52287.0,61.0,East,Platinum,17.0
CUST1111,34,Female,26726.0,34.0,West,Silver,16.0
CUST1112,35,Male,83214.0,39.0,South,Platinum,12.0
CUST1113,59,Female,29784.0,61.0,West,Platinum,15.0
CUST1114,33,Male,45173.0,37.0,West,Platinum,8.0
CUST1115,38,Male,49512.0,33.0,East,Silver,11.0
CUST1116,34,Female,78690.0,32.0,West,Platinum,16.0
CUST1117,23,Male,30127.0,55.0,South,Silver,26.0
CUST1118,46,Female,79755.0,54.0,North,Platinum,21.0
CUST1119,42,Female,61357.0,39.0,North,Silver,8.0
CUST1120,42,Female,56256.0,50.0,East,Silver,19.0
CUST1121,25,Male,35230.0,72.0,South,Platinum,15.0
CUST1122,49,Male,58567.0,35.0,South,Gold,16.0
CUST1123,20,Male,39147.0,20.0,North,Platinum,27.0
CUST1124,40,Male,68999.0,56.0,North,Gold,12.0
CUST1125,56,Female,35434.0,48.0,West,Silver,17.0
CUST1126,25,Male,48302.0,39.0,East,Gold,18.0
CUST1127,29,Male,41670.0,59.0,North,Gold,11.0
CUST1128,35,Female,35187.0,62.0,North,Silver,4.0
CUST1129,29,Female,61119.0,16.0,South,Gold,8.0
CUST1130,19,Male,58031.0,40.0,South,Platinum,16.0
CUST1131,35,Female,68135.0,84.0,South,Gold,19.0
CUST1132,24,Female,23301.0,58.0,North,Silver,17.0
CUST1133,39,Female,65962.0,60.0,East,Gold,17.0
CUST1134,25,Female,87581.0,67.0,West,Silver,16.0
CUST1135,50,Female,43225.0,50.0,East,Silver,10.0
CUST1136,27,Male,78427.0,61.0,North,Platinum,14.0
