"","Customer_ID","Age","Gender","Annual_Income","Spending_Score","Region","Loyalty_Tier","Purchase_Frequency","Income_Bracket","Spending_Category","Age_Group"
"1","CUST1000",39,"Female",58529,40,"South","Gold",12,"Medium","Low","Young Adult"
"2","CUST1001",33,"Male",55743,44,"North","Gold",13,"Medium","Low","Young Adult"
"3","CUST1002",41,"Male",74396,71,"East","Gold",17,"High","High","Adult"
"4","CUST1003",50,"Female",53540,33,"South","Gold",14,"Medium","Low","Adult"
"5","CUST1004",32,"Male",44209,39,"South","Gold",15,"Medium","Low","Young Adult"
"6","CUST1005",32,"Male",36263,38,"East","Silver",14,"Medium","Low","Young Adult"
"7","CUST1006",50,"Male",53744,74,"South","Gold",25,"Medium","High","Adult"
"8","CUST1007",42,"Female",13389,79,"West","Silver",17,"Low","High","Adult"
"9","CUST1008",30,"Male",47235,61,"South","Silver",13,"Medium","High","Young Adult"
"10","CUST1009",40,"Female",46912,61,"East","Platinum",13,"Medium","High","Adult"
"11","CUST1010",30,"Female",29532,41,"North","Platinum",17,"Low","Low","Young Adult"
"12","CUST1011",30,"Female",36076,79,"North","Platinum",10,"Medium","High","Young Adult"
"13","CUST1012",37,"Male",62144,54,"West","Gold",16,"Medium","High","Young Adult"
"14","CUST1013",15,"Female",53460,62,"South","Silver",15,"Medium","High","Teen"
"15","CUST1014",17,"Female",51526,48,"South","Gold",10,"Medium","Low","Teen"
"16","CUST1015",29,"Male",54595,45,"East","Platinum",3,"Medium","Low","Young Adult"
"17","CUST1016",24,"Female",51389,74,"East","Platinum",6,"Medium","High","Young Adult"
"18","CUST1017",38,"Female",68642,58,"West","Silver",13,"Medium","High","Young Adult"
"19","CUST1018",25,"Male",51851,71,"West","Silver",19,"Medium","High","Young Adult"
"20","CUST1019",20,"Male",28126,53,"South","Platinum",12,"Low","High","Young Adult"
"21","CUST1020",49,"Female",74451,37,"South","Gold",19,"High","Low","Adult"
"22","CUST1021",32,"Male",55555,41,"West","Gold",13,"Medium","Low","Young Adult"
"23","CUST1022",35,"Male",41161,51,"North","Silver",9,"Medium","High","Young Adult"
"24","CUST1023",20,"Male",50006,50,"North","Platinum",14,"Medium","Low","Young Adult"
"25","CUST1024",29,"Female",55938,33,"North","Gold",10,"Medium","Low","Young Adult"
"26","CUST1025",36,"Female",48242,68,"North","Silver",15,"Medium","High","Young Adult"
"27","CUST1026",23,"Male",73612,41,"West","Silver",14,"High","Low","Young Adult"
"28","CUST1027",38,"Female",44811,52,"East","Silver",13,"Medium","High","Young Adult"
"29","CUST1028",28,"Male",37439,54,"North","Gold",13,"Medium","High","Young Adult"
"30","CUST1029",32,"Male",63436,41,"West","Silver",20,"Medium","Low","Young Adult"
"31","CUST1030",28,"Male",63879,71,"North","Gold",24,"Medium","High","Young Adult"
"32","CUST1031",53,"Male",50006,50,"South","Silver",14,"Medium","Low","Adult"
"33","CUST1032",34,"Male",60145,53,"North","Gold",14,"Medium","High","Young Adult"
"34","CUST1033",24,"Female",49434,53,"West","Platinum",8,"Medium","High","Young Adult"
"35","CUST1034",43,"Female",53507,49,"South","Gold",14,"Medium","Low","Adult"
"36","CUST1035",22,"Female",67474,30,"South","Platinum",13,"Medium","Low","Young Adult"
"37","CUST1036",37,"Female",59379,63,"North","Silver",16,"Medium","High","Young Adult"
"38","CUST1037",15,"Male",50006,50,"North","Gold",14,"Medium","Low","Teen"
"39","CUST1038",21,"Male",70285,39,"South","Silver",8,"High","Low","Young Adult"
"40","CUST1039",36,"Female",14527,60,"East","Platinum",13,"Low","High","Young Adult"
"41","CUST1040",42,"Female",80781,55,"West","Silver",13,"High","High","Adult"
"42","CUST1041",36,"Male",24410,30,"West","Silver",15,"Low","Low","Young Adult"
"43","CUST1042",33,"Male",40593,37,"West","Silver",22,"Medium","Low","Young Adult"
"44","CUST1043",31,"Male",49386,67,"West","Platinum",11,"Medium","High","Young Adult"
"45","CUST1044",20,"Female",47802,54,"West","Platinum",18,"Medium","High","Young Adult"
"46","CUST1045",27,"Male",65096,41,"South","Gold",23,"Medium","Low","Young Adult"
"47","CUST1046",30,"Male",34132,37,"West","Gold",10,"Medium","Low","Young Adult"
"48","CUST1047",45,"Female",53911,42,"East","Gold",15,"Medium","Low","Adult"
"49","CUST1048",38,"Female",41326,43,"East","Gold",15,"Medium","Low","Young Adult"
"50","CUST1049",17,"Female",54427,37,"North","Silver",8,"Medium","Low","Teen"
"51","CUST1050",38,"Male",50006,50,"North","Platinum",14,"Medium","Low","Young Adult"
"52","CUST1051",31,"Male",51394,67,"North","Platinum",20,"Medium","High","Young Adult"
"53","CUST1052",28,"Female",41751,64,"North","Silver",11,"Medium","High","Young Adult"
"54","CUST1053",41,"Male",42349,30,"South","Gold",13,"Medium","Low","Adult"
"55","CUST1054",45,"Male",54309,52,"East","Platinum",6,"Medium","High","Adult"
"56","CUST1055",44,"Male",64155,36,"South","Silver",20,"Medium","Low","Adult"
"57","CUST1056",26,"Female",41025,46,"East","Silver",19,"Medium","Low","Young Adult"
"58","CUST1057",31,"Female",36968,44,"South","Gold",10,"Medium","Low","Young Adult"
"59","CUST1058",38,"Male",59201,43,"East","Gold",10,"Medium","Low","Young Adult"
"60","CUST1059",44,"Male",49512,80,"North","Platinum",13,"Medium","High","Adult"
"61","CUST1060",30,"Male",62457,43,"East","Platinum",21,"Medium","Low","Young Adult"
"62","CUST1061",33,"Male",36413,37,"North","Gold",14,"Medium","Low","Young Adult"
"63","CUST1062",23,"Female",23308,38,"East","Platinum",15,"Low","Low","Young Adult"
"64","CUST1063",23,"Female",42004,65,"South","Gold",15,"Medium","High","Young Adult"
"65","CUST1064",43,"Male",38504,25,"West","Silver",21,"Medium","Low","Adult"
"66","CUST1065",48,"Male",48818,38,"East","Silver",13,"Medium","Low","Adult"
"67","CUST1066",34,"Female",40447,71,"South","Silver",14,"Medium","High","Young Adult"
"68","CUST1067",45,"Male",61115,53,"West","Platinum",20,"Medium","High","Adult"
"69","CUST1068",38,"Female",45677,52,"South","Gold",20,"Medium","High","Young Adult"
"70","CUST1069",28,"Male",52257,81,"West","Silver",9,"Medium","High","Young Adult"
"71","CUST1070",38,"Female",52364,53,"North","Silver",5,"Medium","High","Young Adult"
"72","CUST1071",50,"Male",52924,39,"East","Platinum",14,"Medium","Low","Adult"
"73","CUST1072",34,"Male",49638,45,"South","Platinum",18,"Medium","Low","Young Adult"
"74","CUST1073",50,"Female",57659,32,"East","Silver",16,"Medium","Low","Adult"
"75","CUST1075",43,"Male",70991,58,"North","Platinum",24,"High","High","Adult"
"76","CUST1076",35,"Male",46451,66,"East","Platinum",9,"Medium","High","Young Adult"
"77","CUST1077",32,"Female",30326,68,"South","Platinum",8,"Medium","High","Young Adult"
